handler,final_bound,sim_mu,sim_ci,n_iters,elapsed,frozen
CCD,51.79333805860854,10.904632776539552,23.809035630378077,0,63.4,false
SCD,50.864365186004974,37.815629961811275,21.942103679164838,0,180.6,false
LD,8629.0,-98.0458290452227,21.989976925255124,0,619.7,true
Bandit,51.90757481888518,15.215843350263604,24.591300355529718,0,69.6,false
