method,encoding,handler,relaxed,status,n_bin,n_int,n_iter,bound,mu_is,ci_is,mu_oos,ci_oos,gap_is_pct,gap_oos_pct,optimism,optimism_pct,train_s,s_per_iter
LP-relax+CCD,int,CCD,true,OK,0,0,300,270.5201167709613,270.25478819619985,2.2536912563546987,267.9452438322148,2.1312861575149946,0.09817719661226389,0.9609698242521637,2.309544363985026,0.8619463928351138,18.719969709,0.062399899030000004
int+CCD,int,CCD,false,OK,57,84,300,271.2959440786448,262.9961110319039,2.267518233252125,262.5001738168199,2.187785390785664,3.1558767215892605,3.350767404810513,0.49593721508404087,0.1889283377884999,232.664091125,0.7755469704166666
int+SCD,int,SCD,false,OK,57,84,300,270.7565232674446,262.6326689084681,2.2519919571261466,262.2538529178953,2.1965559623010336,3.0932383213178367,3.2421526909697165,0.37881599057277526,0.14444630130615183,1079.885246958,3.59961748986
int+LD,int,LD,false,OK,57,84,300,270.80308597099673,262.7664652206258,2.2574805450124105,262.21258339889425,2.189752432957347,3.0584651445621858,3.2761595422878953,0.5538818217315225,0.2112338830394431,3584.559542458,11.948531808193334
bin+CCD,bin,CCD,false,OK,210,36,300,271.29982943066875,262.91512699379166,2.2556736082222932,262.24282373809046,2.193904743916793,3.1891289530385536,3.453671510807015,0.6723032557011948,0.2563666933256651,273.484922583,0.91161640861
bin+SCD,bin,SCD,false,OK,210,36,300,271.1675020991385,262.8345242330047,2.260712485373955,262.2406884179744,2.1948495670746166,3.170427435456153,3.4040536329496027,0.5938358150302747,0.22644686399075675,1374.192613625,4.580642045416666
bin+LD,bin,LD,false,OK,210,36,300,271.2546808654024,262.7554868552978,2.2579879519713275,262.03590584369397,2.1876142998625268,3.234639973392899,3.5181342770664012,0.7195810116038501,0.27461160686623026,4516.062074041,15.053540246803335
