K,encoding,handler,ef_optimal,bound,mu,ci,gap_pct,gap_vs_ef,runtime_s,status
5,int,FDD,-1080.0,8370.0,-1072.7,10.295991976179232,112.81600955794505,875.0,14.091647863388062,ok
5,bin,FDD,-1080.0,8370.0,-1084.4,10.6658051382206,112.9557945041816,875.0,11.265084981918335,ok
8,int,FDD,-1150.0,8352.5,-1149.0,9.526739333300208,113.75636037114636,826.3043478260869,11.292983055114746,ok
8,bin,FDD,-1150.0,8352.5,-1142.1,9.799053341050938,113.67375037413947,826.3043478260869,17.111663103103638,ok
10,int,FDD,-1220.0,8335.0,-1225.1,13.85234485869336,114.69826034793041,783.1967213114754,13.416507959365845,ok
10,bin,FDD,-1220.0,8335.0,-1228.2,13.796592621656108,114.73545290941813,783.1967213114754,21.347883939743042,ok
