nsim,mu,ci,rel,ci_sqrtn,gap
500,-35.53134737199392,10.78715670964792,30.359548701354456,241.20815686715713,18.48644065093685
1000,-44.93654892348467,7.576173937629307,16.85971468465363,239.57965592515063,35.54719572055183
2000,-43.97959558061016,5.537304624812139,12.5906219730075,247.63579106407823,34.14476521389097
4000,-45.64724190576693,3.860240009260453,8.456677442263521,244.14301488345015,36.55067706525995
8000,-44.8301832201396,2.711418967651822,6.048199612161609,242.5166850860711,35.394272681489475
