encoding,handler,bound,mu,ci,gap_pct,runtime_s,status
int,CCD,-184.04796716366982,-1443.0,20.067917625794443,87.24546312102079,11.7953519821167,ok
int,SCD,-780.9932141835203,-1443.7,20.39220718853258,45.90335844126063,25.65554690361023,ok
int,LD,-931.8431263497405,-1432.1,20.917614948130126,34.93169985687169,20.995301008224487,ok
int,Bandit,-934.4269467900698,-1437.7,20.03580344061655,35.00542903317314,14.580469846725464,ok
bin,CCD,-184.04796716366982,-1453.9,21.674103997540296,87.34108486390605,9.950990915298462,ok
bin,SCD,-780.9932141835204,-1440.5,20.9250039613273,45.783185408988516,39.24101710319519,ok
bin,LD,-318.460517988129,-1423.4,20.11608940908318,77.62677265785238,350.558385848999,ok
bin,Bandit,-780.9932141835204,-1416.9,19.752473507572017,44.8801457983259,38.635356187820435,ok
