encoding,handler,bound,mu,ci,gap_pct,runtime_s,status
int,CCD,-174.40312747228398,-1007.5,37.805116612771656,82.68951588364426,6.02288293838501,ok
int,SCD,-636.2696911063088,-1100.0,49.25721961510339,42.157300808517384,0.623546838760376,ok
int,LD,-635.2555985787615,-1047.5,52.47444992314681,39.35507412135929,1.5973169803619385,ok
int,Bandit,-636.2696911063088,-1045.0,52.196773443333974,39.11294821949198,0.402925968170166,ok
bin,CCD,-174.40312747228398,-1057.5,56.55426364865964,83.50797848961852,0.12241792678833008,ok
bin,SCD,-636.2696911063085,-1085.0,53.72387492393028,41.3576321561006,0.4078497886657715,ok
bin,LD,-29.641728773348007,-1072.5,58.40105893055814,97.23620244537548,2.712449073791504,ok
bin,Bandit,-636.2696911063085,-1062.5,48.676564122140356,40.115793778229786,0.17916607856750488,ok
