encoding,handler,bound,mu,ci,gap_pct,runtime_s,status
int,CCD,-145.86035322942868,-1446.1,23.214223805714536,89.91353618495064,19.420655012130737,ok
int,SCD,-854.7274444885087,-1455.0,24.85041194724739,41.25584573962139,67.57093596458435,ok
int,LD,-964.8832724377686,-1451.1,23.617632066251552,33.506769179397104,181.44861793518066,ok
int,Bandit,-964.8832724377686,-1436.5,24.51476428881731,32.83095910631614,21.468337059020996,ok
bin,CCD,-145.86035322942865,-1445.7,21.85392646266733,89.91074543616043,21.762938976287842,ok
bin,SCD,-854.7274444885081,-1418.1,23.89206748327257,39.72727984708355,100.57519006729126,ok
bin,LD,-80.5707167281375,-1417.9,23.90289175720615,94.31760231834845,435.05318999290466,ok
bin,Bandit,-854.7274444885081,-1448.1,21.904047073643916,40.9759378158616,200.3517611026764,ok
