K,encoding,handler,ef_optimal,bound,mu,ci,gap_pct,gap_vs_ef,runtime_s,status
5,int,CCD,-108.0,208.12712197875817,-107.48,1.0154920062459867,151.6415155209659,292.7102981284798,6.253391981124878,ok
5,int,SCD,-108.0,50.475110319175464,-107.61,1.0112692441919195,146.90559457222886,146.7362132584958,8.414464950561523,ok
5,int,LD,-108.0,51.489202846722854,-108.32,1.066259985666755,147.53434531639851,147.67518782103969,15.44530701637268,ok
5,int,Bandit,-108.0,50.47511031917543,-108.38,1.0064529522089047,146.5723475910458,146.73621325849578,2.849684953689575,ok
5,bin,CCD,-108.0,204.1451547398468,-108.59,1.0865870848975394,153.19254338335,289.02329142578407,0.8950748443603516,ok
5,bin,SCD,-108.0,50.47511031917544,-108.97,1.0480963242612098,146.32018933575796,146.73621325849578,10.160794973373413,ok
5,bin,LD,-108.0,131.0,-113.1,1.033304623472565,186.33587786259542,221.29629629629628,16.86873984336853,ok
5,bin,Bandit,-108.0,50.47511031917543,-108.66,0.9790348433682317,146.4523378604596,146.73621325849578,23.30882501602173,ok
8,int,CCD,-115.0,250.46035085012656,-115.37,0.9491241875364539,146.06317910535728,317.7916094348927,0.8133840560913086,ok
8,int,SCD,-115.0,29.81217698257231,-115.63,0.9345746183985042,125.78238950321916,125.92363215875852,9.562997817993164,ok
8,int,LD,-115.0,20.929426230227133,-114.78,0.9452166535584995,118.23438423961242,118.19950106976273,21.24827218055725,ok
8,int,Bandit,-115.0,20.929426230227133,-114.43,0.9516029974993244,118.290156628705,118.19950106976273,2.622061014175415,ok
8,bin,CCD,-115.0,261.6835867388822,-114.69,0.9729196007785837,143.82773922861352,327.55094499033237,5.196310043334961,ok
8,bin,SCD,-115.0,29.81217698257231,-114.7,0.9466750759361936,125.99143590459663,125.92363215875852,15.172702074050903,ok
8,bin,LD,-115.0,150.94503222972904,-115.14,0.9626838576081967,176.27942324379646,231.25654976498174,29.63700795173645,ok
8,bin,Bandit,-115.0,29.81217698257231,-115.24,0.9577209125693903,125.86964333787947,125.92363215875852,34.10292315483093,ok
10,int,CCD,-122.0,257.6341919389166,-121.74,1.4163481025422917,147.2530447468183,311.1755671630464,0.8247458934783936,ok
10,int,SCD,-122.0,67.79844648460238,-121.38,1.4172262113679583,155.85635729494348,155.57249711852654,11.957422971725464,ok
10,int,LD,-122.0,61.65287450838466,-121.15,1.454574240264443,150.8897024419188,150.53514303965954,27.023643016815186,ok
10,int,Bandit,-122.0,61.45339443437732,-122.29,1.5011411727486,150.25218287217052,150.3716347822765,4.167897939682007,ok
10,bin,CCD,-122.0,256.5614675830575,-122.87,1.4529474189813782,147.8910575144036,310.29628490414547,1.399885892868042,ok
10,bin,SCD,-122.0,67.79844648460237,-122.95,1.462017874216679,155.1431040948372,155.57249711852654,18.881500005722046,ok
10,bin,LD,-122.0,156.1040985689308,-121.82,1.4376988154993293,178.0376691686977,227.9541791548613,92.11759305000305,ok
10,bin,Bandit,-122.0,61.6048868847096,-121.37,1.3991233592033752,150.75791948975,150.49580892189311,75.31259894371033,ok
