K,n_paths,n_iter,bound,mu_is,ci_is,mu_oos,ci_oos,ef_status,ef_optimal,ef_bound,ef_mipgap_pct,ef_nvars,ef_time_s,A_upper,A_lower,optimism,gap_is_pct,gap_oos_pct,train_s
5,625,300,250.16282420597705,239.28950518513795,2.4071015384583427,259.6331757701173,2.1582971948889953,TIME_LIMIT,242.23326959156537,243.12980074982522,0.3701106622436742,195000,1809.694116667,7.929554614411671,7.033023456151824,-20.34367058497935,4.544001632009067,-3.6475891557577507,63.297419292
8,4096,300,254.6665431700896,248.06784768277677,2.1812985787677484,260.8171172813842,2.1684560680780756,TIME_LIMIT,245.20106648535236,249.7561658299751,1.857699646218632,1170000,1976.763693375,9.46547668473724,4.910377340114508,-12.749269598607412,2.6600365782796156,-2.358194191932197,94.079778917
10,10000,300,274.05009622106945,266.31344898097683,2.3255211884786657,261.36049192743263,2.2207383877065574,TIME_LIMIT,NaN,270.26067189422076,NaN,2777500,2616.3160902910004,NaN,3.789424326848689,4.952957053544196,2.9050907003368285,4.855211359626656,134.073768334
20,160000,300,271.2959440786448,262.9961110319039,2.267518233252125,262.5001738168199,2.187785390785664,SKIPPED,NaN,NaN,NaN,0,NaN,NaN,NaN,0.49593721508404087,3.1558767215892605,3.350767404810513,230.079127083
40,2560000,300,268.8928627167007,261.7846079245287,2.157076934674003,261.84275408180196,2.194402294514034,SKIPPED,NaN,NaN,NaN,0,NaN,NaN,NaN,-0.05814615727325645,2.71530662116745,2.692497128523253,632.932721208
